#,施設名,ステータス（表示用）,ステータス,キャリア,所在地,緯度,経度,マッピング上の特記事項,提供サービス,開設時間,定休日,対象者,利用に関する特記事項,出典,出典確認日時,都道府県,市区町村,地名以下
149,穂別中央生活館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 穂別和泉 76-1,42.706484,142.1274578,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,穂別和泉 76-1
150,穂別町民センター,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 穂別 2-1,42.761303,142.1337012,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,穂別 2-1
151,穂別中学校,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 穂別 116,42.769508,142.1424999,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,穂別 116
152,むかわ四季の館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 美幸3丁目3-1,42.5739733,141.9254643,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,美幸3丁目3-1
153,むかわ町立鵡川中央小学校,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 花園1丁目14,42.5775508,141.9292527,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,花園1丁目14
154,報徳館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡むかわ町 二宮 315-2,42.6096473,141.9420086,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡むかわ町,二宮 315-2
155,厚南会館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡厚真町 上厚真219-1,42.6418156,141.8475651,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡厚真町,上厚真219-1
156,上厚真小学校,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡厚真町 厚和 59-3,42.6423908,141.8561922,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡厚真町,厚和 59-3
157,花園若草会館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡安平町 追分若草1丁目35,42.8663424,141.8177195,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡安平町,追分若草1丁目35
158,安平町立早来小学校,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡安平町 早来大町159,42.7670953,141.8252581,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡安平町,早来大町159
159,安平町町民センター,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡安平町 早来北進 102-4,42.7655593,141.8222946,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡安平町,早来北進 102-4
160,遠浅公民館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡安平町 追分遠浅 125-1,42.7291618,141.7749984,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡安平町,追分遠浅 125-1
161,青葉会館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡安平町 追分白樺 2丁目3-1,42.8768042,141.8051369,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡安平町,追分白樺 2丁目3-1
162,安平公民館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡安平町 安平165,42.8158761,141.8287855,「安平地区公民館」にマッピング,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡安平町,安平165
163,追分公民館,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡安平町 追分緑が丘200-2,42.8783461,141.8134442,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡安平町,追分緑が丘200-2
164,厚真町役場,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡厚真町 京町 120,42.7234095,141.8777571,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡厚真町,京町 120
165,厚真スポーツセンター,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡厚真町 字本郷 234-6,42.7314998,141.8635244,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡厚真町,字本郷 234-6
166,厚真町総合福祉センター,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡厚真町 京町 165-1,42.722879,141.8769517,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡厚真町,京町 165-1
167,厚真中央小学校,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡厚真町 新町 92-1,42.7228376,141.8865399,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡厚真町,新町 92-1
168,厚真中学校,臨時開設（ドコモ）,臨時開設,ドコモ,北海道 勇払郡厚真町 新町 457,42.7176021,141.8857403,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,勇払郡厚真町,新町 457
169,ドコモ北海道支社ビル,閉鎖（ドコモ）,閉鎖,ドコモ,北海道 札幌市中央区 北1条西14丁目6,43.0591539,141.335056,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市中央区,北1条西14丁目6
170,ドコモ月寒ビル,閉鎖（ドコモ）,閉鎖,ドコモ,北海道 札幌市豊平区 月寒中央通11丁目2-20,43.0238063,141.4001884,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市豊平区,月寒中央通11丁目2-20
171,ドコモＣＳ北海道 旭川支店,閉鎖（ドコモ）,閉鎖,ドコモ,北海道 旭川市 2条通10丁目229-1,43.7653277,142.3631304,,充電,,,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,旭川市,2条通10丁目229-1
172,清田区体育館,臨時開設（au）,臨時開設,au,北海道 札幌市清田区 平岡1条5丁目4-1,42.9910368,141.451669,,充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,札幌市清田区,平岡1条5丁目4-1
173,東区体育館,臨時開設（au）,臨時開設,au,北海道 札幌市東区 北27条東14丁目3-1,43.0975114,141.3686202,,Wi-Fi/充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,札幌市東区,北27条東14丁目3-1
174,厚南会館,臨時開設（au）,臨時開設,au,北海道 勇払郡厚真町 上厚真219-1,42.6418156,141.8475651,,充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡厚真町,上厚真219-1
175,あつまスタードーム,臨時開設（au）,臨時開設,au,北海道 勇払郡厚真町 本郷234-6,42.7314998,141.8635244,,充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡厚真町,本郷234-6
176,総合福祉センター,臨時開設（au）,臨時開設,au,北海道 勇払郡厚真町 京町165-1,42.722879,141.8769517,,充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡厚真町,京町165-1
177,厚真中学校,臨時開設（au）,臨時開設,au,北海道 勇払郡厚真町 新町464,42.716505,141.8868653,,充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡厚真町,新町464
178,上厚真小学校,臨時開設（au）,臨時開設,au,北海道 勇払郡厚真町 厚和 59-3,42.6423908,141.8561922,,充電,,,,,http://disaster.kddi.com/category/189,2018-09-14 3:15:20,北海道,勇払郡厚真町,厚和 59-3
